price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type
339.700 kr.;2022;2000;2022-04-28;Benzin;17.5;207;A
174.900 kr.;2019;50000;2019-04-10;Benzin;23.9;95;M
139.900 kr.;2017;57000;2017-05-01;Benzin;24.4;95;M
265.900 kr.;2020;51000;2020-05-20;Benzin;21.6;150;A
159.900 kr.;2018;76000;2018-07-20;Benzin;22.7;95;M
184.900 kr.;2019;54000;2019-07-04;Benzin;23.4;95;A
279.900 kr.;2022;13500;2021-08-26;Benzin;21.6;110;A
174.900 kr.;2020;67000;2020-03-30;Benzin;23.9;95;M
269.900 kr.;2019;46000;2019-02-18;Benzin;18;200;A
117.900 kr.;2015;81000;2015-06-09;Benzin;21.3;90;M
69.900 kr.;2009;121000;2009-08-14;Benzin;16.9;85;M
164.900 kr.;2019;67000;2019-08-22;Benzin;23.9;95;M
79.500 kr.;2010;159000;2010-01-07;Diesel;23.8;90;M
169.900 kr.;2019;55000;2019-08-09;Benzin;23.9;95;M
164.900 kr.;2018;58000;2017-11-28;Benzin;22.7;95;M
199.900 kr.;2019;62100;2019-06-04;Diesel;28.2;95;A
259.900 kr.;2020;30000;2019-09-27;Benzin;19;200;A
115.000 kr.;2017;154000;2017-05-03;Diesel;27;90;M
159.900 kr.;2018;70000;2018-01-12;Benzin;22.7;95;M
147.900 kr.;2017;59000;2017-06-15;Diesel;27;90;M
264.900 kr.;2020;31000;2020-03-03;Benzin;18;200;A
269.900 kr.;2022;10000;2022-10-24;Benzin;21.6;110;A
269.900 kr.;2022;10000;2022-10-24;Benzin;21.6;110;A
189.900 kr.;2019;88000;2019-05-24;Diesel;28.2;95;A
84.900 kr.;2013;117000;2013-03-26;Benzin;19.2;70;M
214.900 kr.;2018;17000;2018-02-23;Benzin;22.7;95;M
189.900 kr.;2019;108000;2019-04-16;Diesel;28.2;95;A
169.900 kr.;2018;51000;2018-07-05;Benzin;22.7;95;M
179.900 kr.;2019;46000;2019-04-29;Benzin;23.4;115;M
34.500 kr.;1991;176000;1991-07-05;Benzin;15.4;45;M
239.000 kr.;2022;8000;2022-05-06;Benzin;23.3;95;M
265.000 kr.;2022;8000;2022-05-06;Benzin;21.6;95;A
179.900 kr.;2019;26000;2019-08-27;Benzin;23.9;95;M
119.800 kr.;2017;113000;2016-10-05;Benzin;24.4;95;M
184.900 kr.;2021;10000;2021-07-29;Benzin;23.4;80;M
9.999 kr.;1995;207000;1995-06-23;Benzin;15.3;55;M
99.900 kr.;2014;94000;2013-12-08;Benzin;19.6;90;M
189.900 kr.;2018;62000;2018-02-22;Benzin;21.7;95;A
74.900 kr.;2009;156000;2009-12-22;Diesel;23.8;75;M
239.900 kr.;2019;85500;2019-01-31;Benzin;18;200;A
179.800 kr.;2020;41000;2020-08-05;Benzin;23.9;95;M
259.800 kr.;2019;81000;2019-05-16;Benzin;18;200;A
254.900 kr.;2019;64000;2019-01-17;Benzin;17.7;200;A
189.900 kr.;2021;15000;2021-07-29;Benzin;23.4;80;M
179.900 kr.;2018;78000;2018-01-23;Benzin;21.7;95;A
229.900 kr.;2018;96000;2018-02-19;Benzin;16.9;200;A
119.900 kr.;2015;134000;2015-06-22;Benzin;21.3;90;M
119.800 kr.;2017;71000;2016-07-21;Benzin;21.3;90;M
122.995 kr.;2015;74000;2014-09-02;Benzin;21.3;90;M
194.900 kr.;2018;23500;2018-05-25;Benzin;21.7;115;M
115.000 kr.;2017;82000;2017-04-01;Benzin;23.8;95;M
122.500 kr.;2017;108000;2017-04-01;Benzin;23.8;95;M
129.700 kr.;2017;87000;2017-02-17;Benzin;23.8;95;M
157.900 kr.;2018;87000;2018-01-10;Benzin;22.7;95;M
259.500 kr.;2020;76000;2019-10-02;Benzin;18;200;A
94.990 kr.;2011;101000;2010-12-03;Benzin;18.9;105;M
299.047 kr.;2022;15000;2021-09-01;Benzin;21.6;110;A
154.900 kr.;2018;144000;2018-03-15;Diesel;27;95;M
259.900 kr.;2018;31000;2018-07-05;Benzin;16.9;200;A
79.900 kr.;2011;79900;2011-01-28;Benzin;18.2;60;M
349.900 kr.;2022;6000;2022-04-27;Benzin;17.5;207;A
89.000 kr.;2015;67000;2014-08-06;Benzin;20.8;75;M
269.900 kr.;2022;6000;2021-08-26;Benzin;21.6;110;A
164.700 kr.;2018;40000;2018-06-11;Benzin;22.7;95;M
239.950 kr.;2020;22000;2019-10-03;Benzin;22.9;115;A
269.800 kr.;2019;72000;2019-03-29;Benzin;18;200;A
204.900 kr.;2022;9000;2022-01-04;Benzin;21.6;80;M
264.900 kr.;2022;9000;2021-11-23;Benzin;21.6;110;A
199.900 kr.;2020;20000;2020-02-21;Benzin;23.4;95;A
174.800 kr.;2019;45000;2019-07-01;Benzin;23.9;95;M
204.900 kr.;2020;27000;2019-11-25;Benzin;23.4;95;A
159.900 kr.;2020;100000;2019-11-28;Benzin;23.9;95;M
204.800 kr.;2020;76000;2019-09-27;Benzin;22.9;115;A
204.800 kr.;2020;38000;2019-09-27;Benzin;23.4;95;A
194.800 kr.;2019;95000;2019-03-27;Diesel;28.2;95;A
