;price;model_year;km;reg
260;139.500 kr.;2021;33000;2020-12-01
261;79.800 kr.;2014;101500;2014-06-24
262;114.900 kr.;2018;60000;2018-08-13
263;59.900 kr.;2013;136000;2013-06-10
264;79.900 kr.;2017;106000;2017-05-30
265;69.900 kr.;2017;169000;2017-08-08
266;79.900 kr.;2017;57000;2016-09-19
267;52.900 kr.;2013;186000;2013-04-29
268;109.900 kr.;2017;64000;2017-05-01
269;179.900 kr.;2021;41000;2020-12-28
270;109.800 kr.;2019;30000;2018-11-01
271;49.900 kr.;2016;207000;2016-01-02
272;64.900 kr.;2013;128000;2013-02-08
273;92.800 kr.;2018;94000;2018-04-11
274;189.900 kr.;2021;29500;2020-12-04
275;79.900 kr.;2013;240000;2013-03-25
276;134.900 kr.;2018;49000;2018-07-06
277;99.900 kr.;2018;98000;2017-11-24
278;84.700 kr.;2013;129000;2013-02-26
279;84.900 kr.;2017;156000;2016-10-18
280;109.990 kr.;2017;22000;2017-03-29
281;69.900 kr.;2013;69000;2013-01-24
282;64.900 kr.;2015;164000;2015-03-05
283;92.800 kr.;2018;96000;2018-09-17
284;64.800 kr.;2012;86000;2012-06-25
285;46.700 kr.;2013;215000;2013-02-26
286;71.900 kr.;2014;83000;2014-03-06
287;74.900 kr.;2015;87000;2016-08-01
288;87.900 kr.;2015;30000;2015-03-03
289;69.900 kr.;2013;59427;2013-06-02
290;104.700 kr.;2019;76000;2019-03-29
291;92.500 kr.;2018;86000;2018-05-04
292;54.900 kr.;2012;69000;2012-02-15
293;59.700 kr.;2014;166000;2013-12-20
294;95.900 kr.;2017;51000;2016-09-22
295;94.900 kr.;2017;98700;2016-11-09
296;84.900 kr.;2017;98000;2016-08-04
297;109.800 kr.;2018;38000;2018-04-25
298;99.800 kr.;2018;83400;2017-11-24
299;59.500 kr.;2012;83000;2012-02-24
300;49.700 kr.;2013;157000;2013-04-10
301;159.900 kr.;2019;108000;2018-07-06
302;98.600 kr.;2018;78000;2018-07-27
303;84.500 kr.;2018;101000;2018-02-27
304;59.900 kr.;2014;156000;2014-02-05
305;106.900 kr.;2018;118000;2017-03-29
306;89.900 kr.;2017;90000;2016-11-03
307;74.900 kr.;2018;186000;2017-09-29
308;114.900 kr.;2018;73000;2018-05-30
309;84.900 kr.;2019;136000;2018-09-04
310;57.500 kr.;2014;165000;2014-04-10
311;59.990 kr.;2013;114000;2012-10-26
312;79.700 kr.;2015;82000;2015-03-18
313;84.900 kr.;2016;68000;2016-05-03
314;52.800 kr.;2013;123000;2013-06-21
315;68.900 kr.;2013;90000;2013-06-12
316;74.900 kr.;2016;122000;2016-01-12
317;44.500 kr.;2012;203000;2012-03-27
318;119.900 kr.;2019;47000;2019-02-06
319;127.800 kr.;2020;23000;2020-02-12
320;119.800 kr.;2020;39000;2019-10-23
321;56.900 kr.;2014;105000;2013-11-26
322;59.800 kr.;2013;161000;2013-01-28
323;109.900 kr.;2018;35000;2017-10-19
324;72.900 kr.;2014;123000;2014-08-11
325;64.900 kr.;2014;157000;2014-05-08
326;79.990 kr.;2016;70000;2015-07-16
327;56.900 kr.;2013;158000;2012-09-12
328;49.700 kr.;2014;218000;2014-04-21
329;43.900 kr.;2012;171000;2012-02-06
330;59.900 kr.;2014;167000;2014-06-16
331;68.500 kr.;2014;130000;2014-04-02
332;138.999 kr.;2020;25900;2020-06-10
333;124.900 kr.;2019;29000;2019-02-28
334;69.900 kr.;2015;133000;2015-09-14
335;74.900 kr.;2016;66000;2016-05-20
336;129.800 kr.;2018;34000;2017-04-27
337;104.900 kr.;2018;124000;2018-04-05
338;85.500 kr.;2016;99000;2015-12-16
339;64.900 kr.;2012;143000;2012-05-10
340;94.900 kr.;2016;113000;2016-01-19
341;52.900 kr.;2013;177000;2013-05-07
342;119.800 kr.;2019;45000;2019-02-20
343;136.500 kr.;2018;5000;2018-06-06
344;79.800 kr.;2016;109000;2015-10-28
345;89.900 kr.;2016;67000;2016-01-01
346;99.800 kr.;2019;91000;2019-05-29
347;99.900 kr.;2018;76000;2018-01-04
348;52.900 kr.;2013;142000;2013-03-21
349;79.900 kr.;2017;79000;2016-10-19
350;48.500 kr.;2014;167000;2014-04-30
351;43.900 kr.;2013;229000;2013-01-01
352;129.000 kr.;2020;46000;2020-06-10
353;139.000 kr.;2019;9000;2019-07-05
354;119.900 kr.;2020;49000;2020-01-01
355;114.800 kr.;2017;80000;2017-08-02
356;79.900 kr.;2014;117000;2014-05-14
357;63.900 kr.;2014;166000;2013-09-06
358;68.999 kr.;2014;83000;2014-06-04
359;94.900 kr.;2016;66000;2016-01-01
360;64.900 kr.;2015;151000;2015-04-08
361;116.980 kr.;2019;58000;2019-05-23
362;79.980 kr.;2013;65000;2013-04-11
363;89.900 kr.;2018;56000;2017-12-08
364;114.900 kr.;2017;95000;2016-11-24
365;79.900 kr.;2013;98000;2013-03-26
366;64.800 kr.;2015;159000;2014-09-09
367;74.900 kr.;2015;85000;2015-03-25
368;46.900 kr.;2013;186000;2012-07-24
369;54.800 kr.;2013;200000;2013-02-14
370;137.900 kr.;2021;34000;2021-01-04
371;59.900 kr.;2014;158000;2014-06-25
372;66.900 kr.;2015;143000;2015-04-27
373;119.700 kr.;2019;53000;2019-07-03
374;74.800 kr.;2015;116000;2015-03-23
375;59.900 kr.;2014;150000;2013-08-05
376;126.800 kr.;2019;21900;2019-07-18
377;72.900 kr.;2016;161943;2015-06-26
378;109.900 kr.;2020;53000;2019-11-19
379;89.900 kr.;2016;83000;2016-05-11
380;60.000 kr.;2013;141000;2013-02-21
381;84.800 kr.;2016;90000;2016-01-22
382;98.900 kr.;2017;60000;2017-03-29
383;79.900 kr.;2014;78000;2014-08-08
384;79.800 kr.;2017;89000;2016-08-15
385;74.900 kr.;2017;129000;2017-01-23
386;59.700 kr.;2016;163700;2015-12-21
387;71.900 kr.;2016;164000;2016-01-02
388;79.900 kr.;2017;139000;2016-08-15
389;65.000 kr.;2014;121000;2013-12-17
390;139.900 kr.;2021;26000;2020-12-17
391;92.800 kr.;2019;120000;2019-03-26
392;54.999 kr.;2013;206000;2013-06-25
393;58.800 kr.;2013;127000;2013-03-15
394;64.900 kr.;2016;174000;2016-02-02
395;119.900 kr.;2017;72000;2017-05-10
396;84.900 kr.;2018;179000;2018-01-31
397;64.900 kr.;2013;145000;2013-04-15
398;99.500 kr.;2018;100000;2018-03-06
399;49.900 kr.;2012;195000;2012-05-30
400;54.900 kr.;2013;151000;2013-04-10
401;137.900 kr.;2021;32000;2021-01-02
402;97.900 kr.;2016;63000;2016-02-23
403;79.900 kr.;2017;92000;2016-09-08
404;79.900 kr.;2017;160000;2017-01-24
405;59.900 kr.;2014;152000;2014-06-25
406;44.900 kr.;2014;163000;2014-04-04
407;59.800 kr.;2014;154000;2014-05-14
