price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type
589.900 kr.;2022;11000;2021-10-25;Diesel;23.3;265;A
554.900 kr.;2022;20000;2021-10-01;Diesel;26.9;200;A
339.900 kr.;2018;131800;2018-05-31;Benzin;16.9;184;A
1.499.000 kr.;2018;40000;2018-10-09;Benzin;11.9;510;A
559.900 kr.;2022;10000;2021-11-01;Diesel;26.9;200;A
649.900 kr.;2022;4000;2021-12-08;Plug-in hybrid Benzin;40.6;313;A
614.900 kr.;2022;8000;2021-12-01;Plug-in hybrid Benzin;40.6;313;A
369.800 kr.;2018;108000;2018-06-05;Diesel;22.2;204;A
639.900 kr.;2022;5000;2021-12-01;Plug-in hybrid Benzin;40.6;313;A
669.900 kr.;2019;24000;2019-02-20;Benzin;15.6;184;A
649.900 kr.;2022;4000;2021-12-01;Plug-in hybrid Benzin;40.6;313;A
694.900 kr.;2022;12000;2021-12-01;Plug-in hybrid Benzin;40.6;313;A
649.900 kr.;2022;5000;2021-12-01;Plug-in hybrid Benzin;40.6;313;A
594.900 kr.;2022;8000;2021-12-01;Plug-in hybrid Benzin;41.9;313;A
594.900 kr.;2022;6000;2021-12-01;Plug-in hybrid Benzin;41.9;313;A
74.900 kr.;2013;451000;2012-11-28;Diesel;19.6;136;A
574.900 kr.;2022;26000;2021-09-01;Diesel;26.9;200;A
604.900 kr.;2022;19000;2022-02-04;Plug-in hybrid Benzin;41.9;313;A
649.900 kr.;2022;13000;2022-03-31;Plug-in hybrid Benzin;40.6;313;A
594.900 kr.;2022;2000;2021-12-01;Plug-in hybrid Benzin;41.9;313;A
309.900 kr.;2017;128000;2017-05-31;Diesel;21.3;170;A
299.900 kr.;2018;143000;2018-02-09;Diesel;21.3;170;A
629.900 kr.;2022;9000;2021-12-01;Plug-in hybrid Benzin;41.9;313;A
554.800 kr.;2022;10000;2021-10-13;Diesel;25.7;200;A
379.900 kr.;2019;72000;2019-08-12;Diesel;22.9;194;A
549.900 kr.;2022;11000;2021-09-06;Diesel;25.7;200;A
599.800 kr.;2022;15000;2021-09-16;Diesel;26.9;200;A
609.900 kr.;2022;15000;2021-09-08;Diesel;26.9;200;A
99.900 kr.;2003;107000;2003-11-20;Benzin;8.9;218;A
399.900 kr.;2019;128000;2019-08-01;Benzin;18.3;184;A
409.900 kr.;2018;112000;2019-01-10;Diesel;23.4;194;A
374.900 kr.;2018;75000;2018-11-28;Diesel;22.9;194;A
514.900 kr.;2019;39000;2019-02-27;Benzin;16.7;258;A
329.900 kr.;2018;75000;2017-11-10;Benzin;17.5;184;A
614.800 kr.;2022;12000;2021-09-24;Benzin;18.3;204;A
