price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type
29.000 kr.;2006;122000;2006-05-01;Benzin;16.7;87;M
39.800 kr.;2008;192000;2008-10-27;Benzin;16.7;87;M
146.900 kr.;2015;69000;2016-02-12;Hybrid (Benzin + El);30.3;100;A
59.900 kr.;2013;228000;2013-11-04;Benzin;20.8;69;M
69.900 kr.;2012;91000;2012-04-24;Benzin;20.8;69;M
79.300 kr.;2012;129000;2012-04-25;Benzin;19.6;99;A
84.800 kr.;2012;52500;2012-11-02;Benzin;18.5;99;M
159.900 kr.;2019;32000;2020-03-31;Benzin;23.4;72;M
139.800 kr.;2018;94000;2018-01-29;Hybrid (Benzin + El);30.3;100;A
138.800 kr.;2018;99000;2018-01-08;Hybrid (Benzin + El);30.3;100;A
119.900 kr.;2018;147000;2018-01-08;Hybrid (Benzin + El);30.3;100;A
109.900 kr.;2018;170000;2018-01-29;Hybrid (Benzin + El);30.3;100;A
69.900 kr.;2014;124000;2014-04-28;Diesel;26.3;90;M
29.900 kr.;2003;142000;2003-10-23;Benzin;17.9;68;M
159.900 kr.;2019;25000;2018-10-18;Hybrid (Benzin + El);29.7;100;A
189.900 kr.;2020;13000;2021-03-15;Benzin;22.9;125;M
79.800 kr.;2017;28900;2018-01-11;Benzin;23.3;69;M
109.900 kr.;2015;114000;2015-03-26;Hybrid (Benzin + El);30.3;100;A
189.900 kr.;2020;23656;2021-03-19;Benzin;22.9;125;M
169.999 kr.;2019;47000;2019-11-01;Hybrid (Benzin + El);28.9;100;A
75.000 kr.;2013;96000;2013-07-30;Benzin;18.5;99;M
24.900 kr.;2010;322000;2010-10-01;Diesel;23.8;90;M
159.900 kr.;2019;33368;2019-02-26;Hybrid (Benzin + El);27;100;A
219.900 kr.;2020;29000;2021-05-20;Hybrid (Benzin + El);39.3;116;A
139.900 kr.;2019;97000;2019-11-28;Hybrid (Benzin + El);27;100;A
149.900 kr.;2019;68000;2019-09-24;Hybrid (Benzin + El);27;100;A
149.900 kr.;2019;59000;2019-09-24;Hybrid (Benzin + El);27;100;A
139.900 kr.;2019;88000;2019-10-28;Hybrid (Benzin + El);27;100;A
149.900 kr.;2019;56000;2019-09-24;Hybrid (Benzin + El);27;100;A
149.900 kr.;2017;85000;2018-01-09;Hybrid (Benzin + El);27.8;100;A
114.900 kr.;2016;23000;2016-11-11;Benzin;19.6;99;M
164.980 kr.;2019;97000;2019-03-01;Hybrid (Benzin + El);23.8;100;A
119.900 kr.;2014;95000;2014-10-24;Hybrid (Benzin + El);30.3;100;A
184.900 kr.;2020;30000;2020-10-01;Hybrid (Benzin + El);27;100;A
71.900 kr.;2015;131000;2015-01-21;Benzin;20.8;69;M
79.500 kr.;2011;69500;2013-04-24;Benzin;18.5;99;M
94.900 kr.;2015;114000;2015-02-05;Benzin;20.4;99;M
184.900 kr.;2019;46500;2019-09-27;Hybrid (Benzin + El);27;100;A
59.900 kr.;2013;235000;2013-03-04;Diesel;25.6;90;M
29.900 kr.;2008;250000;2008-04-14;Benzin;16.7;87;M
64.900 kr.;2011;149000;2012-07-19;Benzin;20.8;69;M
129.900 kr.;2016;58000;2016-03-22;Hybrid (Benzin + El);27.8;100;A
139.900 kr.;2017;65000;2017-01-11;Hybrid (Benzin + El);27.8;100;A
169.900 kr.;2019;16500;2020-02-12;Hybrid (Benzin + El);27;100;A
107.000 kr.;2012;49000;2013-01-01;Hybrid (Benzin + El);28.6;99;A
159.000 kr.;2019;38000;2020-04-01;Hybrid (Benzin + El);27;100;A
164.900 kr.;2019;38000;2019-10-09;Benzin;21.6;111;M
169.900 kr.;2019;40000;2020-09-11;Benzin;21.6;111;M
134.900 kr.;2015;82000;2017-04-05;Hybrid (Benzin + El);30.3;100;A
124.900 kr.;2018;44000;2018-01-20;Benzin;23.3;69;M
189.800 kr.;2021;19000;2021-03-31;Benzin;22.9;125;M
169.900 kr.;2019;66000;2019-03-21;Hybrid (Benzin + El);27;100;A
244.900 kr.;2022;2500;2022-08-12;Hybrid (Benzin + El);29.5;116;A
139.900 kr.;2018;91000;2018-06-10;Hybrid (Benzin + El);30.3;100;A
94.900 kr.;2014;170000;2015-05-04;Diesel;26.3;90;M
134.800 kr.;2018;116000;2018-09-10;Hybrid (Benzin + El);29.7;100;A
119.990 kr.;2016;101000;2015-05-04;Hybrid (Benzin + El);30.3;100;A
72.900 kr.;2013;107000;2013-10-01;Benzin;20.8;69;M
29.900 kr.;2008;305000;2008-11-20;Diesel;22.2;90;M
