price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
419.900 kr.;2020;25000;2020-08-14;El;75.1;498;A;7200
379.900 kr.;2022;10000;2022-03-04;El;74.1;283;A;8700
419.989 kr.;2021;7500;2021-12-01;El;75.1;498;A;6740
449.900 kr.;2021;15000;2021-04-29;El;75.1;498;A;7200
416.000 kr.;2021;13080;2021-09-29;El;75.1;498;A;9000
359.900 kr.;2021;18000;2021-06-17;El;77.8;325;A;4700
389.800 kr.;2021;9000;2021-09-21;El;77.8;325;A;7800
315.000 kr.;2019;99000;2019-02-01;El;69;491;A;8700
429.000 kr.;2021;27400;2021-09-01;El;75.1;441;A;9500
388.900 kr.;2020;47000;2020-09-28;El;66.5;513;A;4300
334.800 kr.;2021;16353;2021-09-10;El;77.8;325;A;2670
430.000 kr.;2021;9000;2020-12-01;El;75.1;476;A;4040
359.900 kr.;2021;14000;2021-06-01;El;77.8;325;A;8680
424.900 kr.;2021;29000;2021-09-16;El;66.9;513;A;7200
324.800 kr.;2019;98000;2019-06-05;El;74.1;306;A;8766
384.890 kr.;2021;20200;2021-08-02;El;75.1;495;A;2770
349.000 kr.;2019;123000;2019-03-04;El;66.5;483;A;3460
435.543 kr.;2021;12000;2021-12-15;El;75.1;498;A;6740
339.900 kr.;2021;29000;2021-02-17;El;77.8;325;A;2770
309.800 kr.;2020;35000;2020-09-17;El;74.1;283;A;5210
477.000 kr.;2022;10000;2022-02-21;El;66.9;513;A;7000
319.700 kr.;2019;95000;2019-02-14;El;69;462;A;7500
289.900 kr.;2020;49000;2020-12-01;El;74.1;325;A;9800
379.000 kr.;2020;59000;2020-03-01;El;69;442;A;2450
289.000 kr.;2019;34000;2019-06-01;El;74.1;306;A;2100
364.800 kr.;2020;76000;2019-09-24;El;66.5;513;A;4700
299.000 kr.;2020;42000;2020-12-01;El;74.1;325;A;2635
399.500 kr.;2021;45000;2021-03-01;El;75.1;498;A;6100
429.800 kr.;2022;8000;2022-03-07;El;66.9;513;A;8230
358.800 kr.;2021;71300;2021-02-23;El;75.1;498;A;2670
324.800 kr.;2022;21000;2021-12-14;El;76.7;325;A;8230
339.900 kr.;2021;27000;2021-05-20;El;77.8;325;A;6650
379.900 kr.;2022;12000;2022-03-17;El;74.1;283;A;6800
374.900 kr.;2022;8200;2022-03-24;El;76.7;325;A;7400
349.800 kr.;2019;46000;2019-02-25;El;69;462;A;2750
419.000 kr.;2020;26000;2020-03-30;El;66.5;513;A;8600
349.900 kr.;2020;44000;2020-03-16;El;74.1;325;A;7160
309.000 kr.;2021;44000;2021-03-01;El;77.8;283;A;2630
359.000 kr.;2020;34000;2020-04-01;El;69;442;A;9500
409.980 kr.;2021;18000;2021-10-04;El;75.1;498;A;4200
354.980 kr.;2021;13000;2021-06-10;El;77.8;325;A;4200
429.900 kr.;2022;6600;2022-03-15;El;75.1;498;A;8800
429.900 kr.;2021;30000;2021-09-27;El;75.1;495;A;7200
358.000 kr.;2021;15000;2021-08-01;El;76.7;325;A;4220
379.900 kr.;2019;80000;2019-09-11;El;69;476;A;2630
329.700 kr.;2021;17000;2021-03-18;El;77.8;325;A;4700
349.500 kr.;2022;13000;2022-02-10;El;76.7;325;A;4700
349.800 kr.;2021;24000;2021-10-26;El;77.8;325;A;4700
389.900 kr.;2020;19000;2020-06-25;El;66.5;513;A;8660
340.000 kr.;2019;24000;2019-09-01;El;69;491;A;2930
380.000 kr.;2021;28000;2020-11-23;El;75.1;498;A;2610
304.000 kr.;2019;106000;2019-05-01;El;75.1;283;A;6400
