price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
174.900 kr.;2017;27700;2017-07-17;Benzin;21.3;90;A;4600
219.900 kr.;2021;20000;2021-06-28;Benzin;21.6;95;A;7430
144.900 kr.;2016;53000;2016-08-11;Benzin;21.3;90;M;6715
108.500 kr.;2016;93000;2015-10-27;Benzin;24.4;95;M;4700
145.900 kr.;2018;76500;2018-05-03;Benzin;20.8;75;M;6430
164.900 kr.;2017;83000;2017-03-02;Benzin;20.8;150;M;7361
94.900 kr.;2014;148000;2014-04-10;Benzin;19.6;90;M;6100
184.900 kr.;2021;13000;2021-07-29;Benzin;21.6;80;M;6200
219.800 kr.;2020;11000;2019-09-19;Benzin;22.9;115;A;3400
224.900 kr.;2019;27000;2020-04-14;Benzin;22.9;115;A;7160
249.900 kr.;2019;27000;2019-05-15;Benzin;18;200;A;7620
199.900 kr.;2022;16000;2022-01-03;Benzin;21.6;80;M;9440
129.900 kr.;2013;130000;2013-01-16;Benzin;18.9;90;A;8653
169.900 kr.;2019;108000;2019-04-08;Diesel;29.7;95;M;6800
244.900 kr.;2020;86000;2020-02-24;Benzin;18;200;A;6800
194.900 kr.;2019;78000;2018-12-04;Benzin;22.9;115;A;4600
152.500 kr.;2016;96000;2015-08-27;Diesel;28.6;90;A;8520
199.900 kr.;2019;53000;2019-07-19;Benzin;22.9;115;A;4600
105.900 kr.;2015;169000;2014-10-06;Benzin;21.3;60;M;9440
29.900 kr.;2008;261000;2008-11-05;Diesel;22.2;80;M;7000
115.900 kr.;2015;105000;2014-09-04;Benzin;21.3;90;M;7160
84.900 kr.;2012;85000;2011-09-23;Benzin;18.2;70;M;5750
204.900 kr.;2019;45900;2019-07-07;Benzin;22.9;115;A;4600
239.800 kr.;2022;9800;2022-03-22;Benzin;22;95;A;9620
74.900 kr.;2009;151000;2009-11-24;Diesel;23.8;105;M;7000
354.900 kr.;2022;3000;2022-08-30;Benzin;17.5;207;A;6400
199.900 kr.;2019;56500;2019-07-02;Benzin;22.9;115;A;4600
139.800 kr.;2016;73000;2016-01-27;Benzin;20.8;110;M;4200
49.900 kr.;2008;149000;2008-06-20;Benzin;13.4;105;A;2860
239.900 kr.;2021;16500;2021-09-01;Benzin;21.2;110;A;8960
169.900 kr.;2019;47000;2019-04-26;Benzin;23.9;95;M;7160
139.900 kr.;2016;43000;2015-10-13;Benzin;21.3;90;M;7700
199.900 kr.;2019;66000;2019-06-03;Diesel;28.2;95;A;4600
184.900 kr.;2020;65000;2020-01-16;Benzin;23.9;95;M;7160
199.900 kr.;2018;53000;2018-05-09;Benzin;21.3;115;A;4200
159.900 kr.;2018;56000;2018-09-17;Benzin;22.7;95;M;2200
179.900 kr.;2019;54000;2019-04-29;Benzin;23.4;115;M;7160
249.500 kr.;2022;12000;2021-08-23;Benzin;21.6;110;A;7500
49.900 kr.;2010;245000;2010-03-19;Diesel;27;90;M;4200
208.600 kr.;2021;19000;2020-11-05;Benzin;23.4;95;A;4700
229.900 kr.;2022;8000;2022-03-25;Benzin;23.3;95;M;8700
184.900 kr.;2021;15000;2021-10-08;Benzin;21.6;80;M;6200
199.900 kr.;2020;57000;2020-01-10;Benzin;23.4;115;A;7160
239.800 kr.;2022;7000;2022-03-10;Benzin;22;95;A;7400
144.800 kr.;2016;69000;2016-06-14;Benzin;21.3;90;A;8230
209.800 kr.;2019;45000;2018-11-13;Benzin;23.4;95;A;2625
209.800 kr.;2019;65000;2018-09-28;Benzin;23.4;95;A;2625
144.900 kr.;2018;89700;2018-01-15;Benzin;22.7;95;M;2860
249.900 kr.;2019;53000;2019-01-10;Benzin;18;200;A;7000
256.900 kr.;2018;59000;2018-07-13;Benzin;16.9;200;A;8600
224.800 kr.;2022;9000;2022-03-10;Benzin;23.3;95;M;7400
164.990 kr.;2018;34000;2018-04-30;Benzin;22.7;95;M;2770
169.900 kr.;2018;79000;2018-03-21;Benzin;22.7;95;M;5200
44.800 kr.;2011;289000;2011-05-11;Diesel;27;90;M;6670
99.900 kr.;2014;130000;2014-11-03;Diesel;29.4;90;M;6100
23.900 kr.;2007;255000;2007-03-19;Benzin;15.5;80;M;4600
184.900 kr.;2021;14700;2021-07-29;Benzin;23.4;80;M;6200
134.900 kr.;2015;98000;2015-06-29;Benzin;20.8;110;M;5500
209.900 kr.;2020;25500;2020-05-28;Benzin;23.4;95;A;5683
164.900 kr.;2015;112600;2015-03-24;Benzin;21.3;150;A;7323
199.900 kr.;2019;11000;2019-08-02;Benzin;23.4;95;A;5250
184.900 kr.;2021;7500;2021-08-30;Benzin;21.6;80;M;6400
139.900 kr.;2016;99000;2016-06-02;Diesel;29.4;90;M;4600
174.900 kr.;2020;37000;2020-01-16;Benzin;23.9;95;M;7160
189.900 kr.;2020;7000;2019-10-14;Benzin;22.9;95;A;7160
344.900 kr.;2022;9500;2022-04-29;Benzin;17.5;207;A;8800
99.900 kr.;2010;23000;2010-03-25;Benzin;18.2;70;M;4520
129.900 kr.;2016;95000;2016-06-16;Benzin;24.4;95;M;5200
129.500 kr.;2017;66000;2016-11-03;Benzin;24.4;95;M;8700
209.900 kr.;2019;35000;2019-01-30;Benzin;22.9;115;A;2635
171.900 kr.;2017;141000;2016-09-22;Benzin;21.3;150;A;8653
149.900 kr.;2016;52000;2015-09-04;Benzin;21.3;90;A;2800
189.900 kr.;2020;29000;2020-09-22;Benzin;23.9;95;M;7160
229.900 kr.;2022;2000;2021-12-21;Benzin;23.3;95;M;9800
159.999 kr.;2017;92000;2016-07-13;Benzin;21.3;90;A;4200
129.800 kr.;2015;101000;2015-03-03;Benzin;20.8;110;M;4000
289.900 kr.;2018;35000;2018-09-12;Benzin;16.9;200;A;6600
289.700 kr.;2022;15000;2021-09-28;Benzin;20.9;110;A;9500
184.400 kr.;2019;66000;2019-11-18;Benzin;21.7;95;A;4600
209.900 kr.;2021;8000;2020-12-17;Benzin;23.4;95;A;2970
44.990 kr.;2010;278000;2010-05-11;Diesel;27;90;M;6520
174.800 kr.;2018;85000;2017-12-28;Benzin;21.7;115;M;4700
349.900 kr.;2022;5000;2022-04-26;Benzin;17.5;207;A;7100
234.800 kr.;2021;7000;2021-06-30;Benzin;21.2;110;A;2920
249.990 kr.;2018;108000;2018-07-23;Benzin;16.9;200;A;7100
189.900 kr.;2021;28000;2021-06-28;Benzin;22.8;95;M;7160
239.900 kr.;2021;17000;2021-01-01;Benzin;21.6;150;A;4700
219.800 kr.;2021;17000;2021-06-28;Benzin;21.6;95;A;2920
194.900 kr.;2020;39000;2020-01-28;Benzin;23.4;95;A;7160
269.700 kr.;2020;31000;2020-11-04;Benzin;18;200;A;8250
189.900 kr.;2018;37000;2018-07-20;Benzin;21.7;95;A;2635
239.900 kr.;2022;10000;2021-12-08;Benzin;22;95;A;6200
179.900 kr.;2020;29000;2019-10-23;Benzin;23.9;95;M;6000
219.900 kr.;2020;55000;2019-10-24;Benzin;22.9;115;A;7160
224.900 kr.;2022;6000;2022-04-27;Benzin;23.3;95;M;4200
224.900 kr.;2022;14000;2021-11-25;Benzin;23.3;95;M;7100
64.900 kr.;2012;142000;2012-04-17;Diesel;26.3;75;M;8600
254.800 kr.;2022;8000;2022-04-29;Benzin;21.6;95;A;4000
