price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
37.250 kr.;2011;237000;2011-09-01;Benzin;16.9;134;M;2980
209.700 kr.;2019;35000;2019-09-18;Benzin;19.6;100;A;8250
79.900 kr.;2015;127000;2014-10-22;Benzin;23.3;100;M;2600
74.900 kr.;2014;153000;2014-04-25;Benzin;23.3;100;M;7100
209.900 kr.;2022;5000;2022-03-31;Benzin;24.2;125;M;2200
24.900 kr.;2010;304000;2010-10-27;Diesel;24.4;95;M;8620
164.900 kr.;2019;52000;2019-02-18;Benzin;23.4;125;M;2500
139.900 kr.;2017;64000;2017-07-31;Benzin;23.3;100;M;6640
209.900 kr.;2021;27000;2021-06-09;Benzin;23.7;155;M;6705
42.000 kr.;2012;200000;2012-01-12;Benzin;18.2;60;M;5260
172.172 kr.;2018;64000;2018-12-06;Benzin;21.6;140;M;6740
109.800 kr.;2017;67000;2017-01-19;Diesel;31.3;95;M;5270
179.900 kr.;2018;36000;2019-01-17;Benzin;20.8;140;M;5500
154.900 kr.;2018;51500;2018-09-21;Benzin;23.3;100;M;2500
250.900 kr.;2022;2000;2022-10-31;Benzin;22.9;125;A;3000
250.900 kr.;2022;100;2022-10-31;Benzin;22.9;125;A;3000
184.900 kr.;2019;71000;2019-10-30;Benzin;22;140;M;6705
78.990 kr.;2014;130000;2014-11-11;Benzin;23.3;125;M;2880
198.700 kr.;2021;7500;2021-09-27;Benzin;24.2;155;M;7400
157.000 kr.;2020;35000;2020-03-06;Diesel;31.4;85;M;2630
179.900 kr.;2018;83000;2018-09-06;Benzin;23.3;125;M;6950
69.900 kr.;2014;114000;2013-11-28;Benzin;23.3;65;M;4500
214.900 kr.;2019;23000;2019-10-16;Benzin;19.6;100;A;6740
55.000 kr.;2005;134000;2005-04-01;Benzin;13.5;150;M;4690
229.900 kr.;2022;1000;2022-06-21;Benzin;24.2;125;M;6760
84.980 kr.;2014;101000;2014-03-31;Benzin;23.3;125;M;9000
69.900 kr.;2016;88000;2016-09-01;Benzin;23.3;65;M;8600
119.900 kr.;2017;55000;2017-05-30;Benzin;23.3;125;M;6200
47.900 kr.;2009;131000;2009-09-23;Benzin;18.2;60;M;4293
149.900 kr.;2018;33000;2018-07-19;Benzin;23.3;100;M;4100
174.800 kr.;2020;3500;2020-07-31;Benzin;26.8;95;M;4600
179.900 kr.;2019;56000;2019-05-31;Benzin;22.4;140;M;4100
99.980 kr.;2015;74000;2014-11-21;Benzin;23.3;125;M;4653
69.000 kr.;2005;230000;2005-05-01;Benzin;13.5;150;M;1905
79.800 kr.;2015;154000;2015-11-26;Benzin;23.3;125;M;8722
79.000 kr.;2014;98000;2014-09-01;Benzin;23.3;100;M;6200
64.500 kr.;2014;163000;2013-10-01;Benzin;23.3;125;M;6740
155.000 kr.;2020;45000;2020-12-01;Diesel;31.4;85;M;8800
78.300 kr.;2014;101000;2013-10-29;Benzin;23.3;125;M;4700
169.900 kr.;2020;39000;2020-12-08;Diesel;31.4;85;M;6200
67.500 kr.;2014;206000;2014-05-01;Benzin;23.3;125;M;8680
164.900 kr.;2019;47000;2019-09-30;Benzin;22.4;140;M;8920
24.499 kr.;2009;259000;2009-01-01;Diesel;27;90;M;6715
99.800 kr.;2014;102000;2014-05-28;Benzin;23.3;100;M;4681
219.900 kr.;2021;4000;2021-06-30;Benzin;23.7;155;M;2500
219.900 kr.;2022;2000;2022-06-28;Benzin;24.2;125;M;2750
154.500 kr.;2018;114000;2018-01-18;Benzin;22.2;140;M;9500
189.400 kr.;2018;23000;2018-08-30;Benzin;19.2;100;A;3460
109.800 kr.;2017;128000;2017-05-03;Benzin;23.3;125;M;4200
179.900 kr.;2019;46000;2019-05-31;Benzin;22;140;M;4200
144.900 kr.;2018;79500;2018-06-27;Benzin;23.3;125;M;3000
159.900 kr.;2017;98000;2017-07-28;Benzin;23.3;125;M;2650
164.900 kr.;2021;20000;2021-06-14;Benzin;27.5;125;M;4600
24.900 kr.;2005;90000;2005-05-27;Benzin;15.6;80;M;7000
89.500 kr.;2014;104000;2014-07-07;Benzin;23.3;125;M;3630
119.900 kr.;2015;66000;2015-09-24;Benzin;22.2;140;M;5492
69.900 kr.;2014;106000;2014-06-11;Benzin;23.3;65;M;6400
159.790 kr.;2020;44000;2020-07-15;Diesel;31.4;85;M;8660
274.900 kr.;2022;3000;2022-06-28;Benzin;22.9;125;A;2750
59.800 kr.;2011;92000;2011-03-21;Benzin;18.2;60;M;4700
119.900 kr.;2016;115000;2016-11-22;Benzin;23.3;125;M;6000
159.900 kr.;2019;14000;2019-07-31;Benzin;23.4;100;M;3300
159.900 kr.;2020;28000;2020-09-09;Diesel;31.4;85;M;3300
104.900 kr.;2016;83000;2016-05-19;Benzin;23.3;125;M;9440
162.000 kr.;2020;18000;2020-01-29;Diesel;31.4;85;M;7000
49.900 kr.;2012;128000;2012-12-11;Benzin;17.9;82;M;2610
179.900 kr.;2020;41000;2019-11-01;Benzin;22.4;140;M;8000
154.800 kr.;2019;85000;2019-04-08;Benzin;22.4;140;M;8260
74.900 kr.;2014;63000;2014-02-26;Benzin;23.3;65;M;5000
59.900 kr.;2012;146000;2012-12-14;Benzin;18.5;60;M;7171
49.900 kr.;2010;73000;2010-06-18;Benzin;18.2;60;M;8600
239.800 kr.;2022;9000;2022-07-05;Benzin;24.2;155;M;2630
99.900 kr.;2014;47000;2014-03-28;Benzin;23.3;100;M;4600
204.900 kr.;2021;28500;2021-07-16;Benzin;27.5;155;M;4600
199.000 kr.;2022;100;2022-05-10;Benzin;24.2;125;M;6950
99.900 kr.;2014;33000;2014-10-07;Benzin;23.3;100;M;6650
62.900 kr.;2014;191000;2013-10-28;Benzin;23.3;125;M;6670
99.900 kr.;2015;58000;2015-12-01;Benzin;23.3;80;M;2750
129.900 kr.;2018;92000;2018-07-26;Benzin;23.3;125;M;5400
152.900 kr.;2020;47000;2020-01-09;Diesel;31.4;85;M;3000
