price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
229.800 kr.;2017;29000;2017-05-17;Plug-in hybrid Benzin;35.1;204;A;6100
169.900 kr.;2014;131000;2013-10-18;Benzin;20.8;140;M;7000
269.800 kr.;2017;114000;2017-08-25;Plug-in hybrid Benzin;32.1;204;A;8653
289.900 kr.;2019;74000;2019-04-30;Benzin;18;190;A;3400
219.800 kr.;2017;70000;2017-01-25;Plug-in hybrid Benzin;32.1;204;A;7100
118.900 kr.;2014;197000;2014-05-08;Diesel;23.8;150;M;8210
49.700 kr.;2006;169000;2006-09-21;Benzin;13;150;A;7400
239.900 kr.;2017;126000;2017-02-02;Benzin;17.9;190;A;8600
399.900 kr.;2022;8000;2021-12-13;Benzin;20.8;150;A;9000
399.995 kr.;2017;87000;2017-07-20;Diesel;20.4;184;A;8700
179.700 kr.;2014;168000;2014-06-11;Diesel;25.6;105;A;4300
94.900 kr.;2013;276000;2013-09-02;Benzin;20;122;A;7160
149.900 kr.;2013;162000;2013-01-01;Diesel;26.3;105;M;8600
124.999 kr.;2013;144000;2013-05-01;Diesel;26.3;105;M;5900
179.700 kr.;2017;127000;2016-12-01;Diesel;26.3;110;M;7400
193.895 kr.;2018;139000;2018-03-01;Diesel;23.3;150;M;3650
169.900 kr.;2014;99999;2014-01-10;Benzin;20;122;A;4300
254.900 kr.;2017;73000;2017-06-16;Plug-in hybrid Benzin;33.8;204;A;5200
189.900 kr.;2018;103000;2018-01-11;Diesel;24.4;116;M;8240
294.900 kr.;2019;39000;2019-09-19;Benzin;21.1;150;A;2860
99.900 kr.;2013;240000;2013-03-21;Diesel;26.3;105;M;8600
64.700 kr.;2011;207000;2011-07-05;Diesel;23.8;105;M;9310
112.700 kr.;2014;153000;2014-06-12;Benzin;18.9;122;M;9310
49.700 kr.;2012;264000;2011-07-20;Diesel;24.4;105;M;9310
190.000 kr.;2013;135000;2013-07-01;Benzin;17.9;180;A;7700
75.000 kr.;2011;234000;2011-12-01;Diesel;22.7;140;M;4623
204.995 kr.;2014;109000;2014-11-01;Plug-in hybrid Benzin;32.7;204;A;5471
279.900 kr.;2017;89000;2016-09-16;Benzin;17.5;190;A;6800
319.900 kr.;2020;13000;2019-12-15;Plug-in hybrid Benzin;38.8;204;A;4600
189.700 kr.;2017;137000;2016-09-16;Diesel;26.3;110;A;8940
289.900 kr.;2019;44114;2019-08-30;Benzin;21.1;150;A;8700
279.800 kr.;2018;63000;2017-10-06;Plug-in hybrid Benzin;33.8;204;A;6760
204.700 kr.;2018;61000;2018-08-01;Diesel;24.4;116;M;6310
149.500 kr.;2014;189000;2013-09-01;Diesel;22.7;150;A;7400
184.900 kr.;2015;114000;2014-11-12;Benzin;21.3;150;M;6650
134.999 kr.;2015;163000;2015-04-01;Benzin;21.7;150;M;8700
84.800 kr.;2011;132000;2010-10-20;Benzin;14.5;102;M;8300
294.900 kr.;2019;29000;2019-03-15;Benzin;21.1;150;A;4600
129.900 kr.;2013;189000;2013-05-31;Benzin;20.8;140;M;8370
194.800 kr.;2018;169000;2017-10-31;Diesel;22.7;150;A;8940
184.900 kr.;2017;108000;2017-05-30;Benzin;21.3;116;M;8800
189.900 kr.;2017;103000;2016-08-19;Benzin;21.3;150;M;4600
179.900 kr.;2011;71000;2011-11-10;Benzin;17.5;105;M;8940
264.995 kr.;2018;89000;2017-12-20;Plug-in hybrid Benzin;33.8;204;A;8600
128.900 kr.;2013;180000;2013-05-14;Diesel;26.3;105;M;4300
299.900 kr.;2017;88000;2017-03-13;Benzin;20;150;A;9000
174.900 kr.;2015;222000;2015-04-01;Plug-in hybrid Benzin;32.7;204;A;7500
244.000 kr.;2018;81000;2017-11-01;Diesel;22.7;150;A;7700
159.800 kr.;2014;119000;2014-02-12;Benzin;20.8;140;M;4700
259.900 kr.;2016;169000;2016-07-14;Diesel;22.7;150;A;8600
114.995 kr.;2014;229000;2014-01-01;Benzin;21.3;140;M;2635
138.000 kr.;2015;164000;2015-09-01;Diesel;28.6;110;M;6430
399.900 kr.;2020;48000;2020-07-16;Benzin;20.8;150;A;2770
279.900 kr.;2018;68000;2017-10-19;Plug-in hybrid Benzin;33.8;204;A;2605
384.900 kr.;2019;48000;2019-06-26;Benzin;21.1;150;A;9900
289.700 kr.;2018;29000;2018-04-06;Benzin;17.2;190;A;2630
159.700 kr.;2014;208000;2014-06-25;Diesel;22.2;150;A;9310
269.900 kr.;2017;71000;2017-07-01;Plug-in hybrid Benzin;33.8;204;A;1610
315.000 kr.;2020;12000;2020-09-16;Plug-in hybrid Benzin;38.8;204;A;6400
24.900 kr.;2000;243000;2000-05-03;Diesel;15.9;90;M;4300
259.900 kr.;2018;78000;2017-07-31;Plug-in hybrid Benzin;33.8;204;A;9381
244.900 kr.;2017;70000;2016-09-09;Plug-in hybrid Benzin;33.8;204;A;9310
299.900 kr.;2020;42000;2019-09-04;Benzin;17.2;190;A;8660
120.000 kr.;2012;119500;2012-01-01;Benzin;15.2;160;M;2640
269.900 kr.;2017;27000;2017-01-10;Benzin;20.4;150;A;4300
72.800 kr.;2013;269000;2013-06-03;Diesel;22.7;140;M;8800
137.900 kr.;2014;204000;2014-04-14;Diesel;23.8;150;M;6300
179.000 kr.;2017;178000;2016-10-01;Diesel;22.7;150;A;7100
260.000 kr.;2017;69000;2017-10-01;Plug-in hybrid Benzin;33.8;204;A;7800
44.000 kr.;2005;211000;2005-11-01;Benzin;14.5;150;M;4300
409.900 kr.;2021;27000;2020-12-01;Plug-in hybrid Benzin;42.4;204;A;2730
359.900 kr.;2021;8500;2021-10-27;Plug-in hybrid Benzin;46.9;204;A;7000
125.000 kr.;2008;172000;2008-05-01;Benzin;13.7;160;M;3100
299.900 kr.;2020;17000;2020-06-17;Benzin;21.1;150;A;8210
165.000 kr.;2015;109000;2015-12-01;Benzin;21.3;150;M;9800
235.000 kr.;2018;41000;2017-09-01;Benzin;21.3;116;A;2100
97.500 kr.;2013;203000;2013-04-01;Diesel;26.3;105;M;6000
