price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type
94.900 kr.;2018;88000;2018-01-04;Benzin;24.4;60;M
53.900 kr.;2013;129500;2012-11-13;Benzin;24.4;60;M
129.900 kr.;2020;29000;2020-03-18;Benzin;25;60;M
114.900 kr.;2017;70000;2016-12-12;Benzin;22.7;90;M
59.900 kr.;2012;155000;2012-06-11;Benzin;24.4;60;M
69.800 kr.;2014;43000;2013-07-18;Benzin;24.4;60;M
54.900 kr.;2013;168000;2012-12-17;Benzin;24.4;60;M
49.990 kr.;2013;150000;2012-08-08;Benzin;24.4;60;M
79.900 kr.;2016;106000;2015-11-18;Benzin;23.8;75;M
99.900 kr.;2018;69000;2017-09-15;Benzin;24.4;60;M
64.800 kr.;2016;174038;2016-01-15;Benzin;24.4;60;M
74.900 kr.;2016;79000;2016-01-12;Benzin;24.4;60;M
48.995 kr.;2014;204000;2014-01-21;Benzin;24.4;60;M
79.900 kr.;2017;99000;2016-08-17;Benzin;24.4;60;M
104.900 kr.;2015;19000;2014-10-01;Benzin;24.4;60;M
82.800 kr.;2016;116000;2016-07-25;Benzin;24.4;60;M
68.000 kr.;2016;69000;2015-07-01;Benzin;24.4;60;M
74.800 kr.;2016;69000;2015-10-02;Benzin;24.4;60;M
68.900 kr.;2016;177000;2016-04-05;Benzin;24.4;60;M
54.400 kr.;2013;160000;2012-08-31;Benzin;21.3;75;M
69.900 kr.;2015;121000;2015-07-24;Benzin;23.8;75;M
109.990 kr.;2018;31000;2018-07-24;Benzin;22.7;60;M
84.995 kr.;2018;105000;2018-07-01;Benzin;24.4;60;M
54.900 kr.;2013;138;2013-05-16;Benzin;24.4;60;M
76.800 kr.;2017;139000;2016-09-20;Benzin;24.4;60;M
107.900 kr.;2019;79000;2018-09-07;Benzin;26.2;60;M
94.900 kr.;2018;82000;2017-11-15;Benzin;24.4;60;M
104.900 kr.;2017;57000;2016-11-15;Benzin;24.4;60;A
64.800 kr.;2013;89000;2013-04-01;Benzin;24.4;60;M
58.980 kr.;2013;148000;2012-10-10;Benzin;24.4;60;M
69.999 kr.;2015;106450;2015-02-16;Benzin;24.4;60;M
85.000 kr.;2017;85000;2016-12-01;Benzin;24.4;60;M
129.900 kr.;2020;35000;2020-04-30;Benzin;25;60;M
69.800 kr.;2014;81300;2014-07-14;Benzin;24.4;60;M
73.760 kr.;2014;95000;2013-12-09;Benzin;24.4;60;M
89.900 kr.;2016;48000;2016-03-10;Benzin;24.4;60;M
84.900 kr.;2015;17000;2015-06-16;Benzin;24.4;60;M
47.900 kr.;2012;144000;2012-04-03;Benzin;24.4;60;M
67.800 kr.;2016;142000;2016-06-10;Benzin;24.4;60;M
71.900 kr.;2016;71000;2015-07-24;Benzin;24.4;60;M
69.900 kr.;2015;113000;2014-07-30;Benzin;24.4;60;M
49.900 kr.;2012;165000;2012-08-31;Benzin;24.4;60;M
69.800 kr.;2013;130000;2012-08-30;Benzin;23.8;75;M
99.900 kr.;2016;93000;2015-11-20;Benzin;24.4;60;M
94.900 kr.;2017;58000;2016-08-19;Benzin;24.4;60;M
49.900 kr.;2014;144000;2014-01-14;Benzin;22.2;60;M
64.500 kr.;2014;169000;2013-09-09;Benzin;24.4;60;M
66.900 kr.;2013;144000;2013-05-21;Benzin;22.2;60;M
62.800 kr.;2014;138000;2014-01-13;Benzin;24.4;60;M
139.500 kr.;2021;33000;2020-12-01;-;32.3;68;M
79.800 kr.;2014;101500;2014-06-24;Benzin;23.8;75;M
114.900 kr.;2018;60000;2018-08-13;Benzin;24.4;60;M
59.900 kr.;2013;136000;2013-06-10;Benzin;24.4;60;M
79.900 kr.;2017;106000;2017-05-30;Benzin;24.4;60;M
69.900 kr.;2017;169000;2017-08-08;Benzin;24.4;60;M
79.900 kr.;2017;57000;2016-09-19;Benzin;24.4;60;M
52.900 kr.;2013;186000;2013-04-29;Benzin;24.4;60;M
109.900 kr.;2017;64000;2017-05-01;Benzin;24.4;60;M
179.900 kr.;2021;41000;2020-12-28;Benzin;22.9;115;M
109.800 kr.;2019;30000;2018-11-01;Benzin;26.2;60;M
49.900 kr.;2016;207000;2016-01-02;Benzin;24.4;60;M
64.900 kr.;2013;128000;2013-02-08;Benzin;24.4;60;M
92.800 kr.;2018;94000;2018-04-11;Benzin;24.4;60;M
189.900 kr.;2021;29500;2020-12-04;Benzin;22.9;115;M
79.900 kr.;2013;240000;2013-03-25;Benzin;22.2;75;A
134.900 kr.;2018;49000;2018-07-06;Benzin;24.4;60;A
99.900 kr.;2018;98000;2017-11-24;Benzin;24.4;60;M
84.700 kr.;2013;129000;2013-02-26;Benzin;22.2;75;A
84.900 kr.;2017;156000;2016-10-18;Benzin;24.4;60;A
109.990 kr.;2017;22000;2017-03-29;Benzin;24.4;60;M
69.900 kr.;2013;69000;2013-01-24;Benzin;24.4;60;M
64.900 kr.;2015;164000;2015-03-05;Benzin;24.4;60;M
92.800 kr.;2018;96000;2018-09-17;Benzin;24.4;60;M
64.800 kr.;2012;86000;2012-06-25;Benzin;24.4;60;M
46.700 kr.;2013;215000;2013-02-26;Benzin;24.4;60;M
71.900 kr.;2014;83000;2014-03-06;Benzin;24.4;60;M
74.900 kr.;2015;87000;2016-08-01;Benzin;24.4;60;M
87.900 kr.;2015;30000;2015-03-03;Benzin;24.4;60;M
69.900 kr.;2013;59427;2013-06-02;Benzin;23.8;75;M
104.700 kr.;2019;76000;2019-03-29;Benzin;26.2;60;M
92.500 kr.;2018;86000;2018-05-04;Benzin;24.4;60;M
54.900 kr.;2012;69000;2012-02-15;Benzin;22.2;60;M
59.700 kr.;2014;166000;2013-12-20;Benzin;24.4;60;M
95.900 kr.;2017;51000;2016-09-22;Benzin;24.4;60;M
94.900 kr.;2017;98700;2016-11-09;Benzin;24.4;60;M
84.900 kr.;2017;98000;2016-08-04;Benzin;24.4;60;M
109.800 kr.;2018;38000;2018-04-25;Benzin;24.4;60;M
99.800 kr.;2018;83400;2017-11-24;Benzin;24.4;60;M
59.500 kr.;2012;83000;2012-02-24;Benzin;22.2;60;M
49.700 kr.;2013;157000;2013-04-10;Benzin;23.8;75;M
159.900 kr.;2019;108000;2018-07-06;Benzin;22.9;115;M
98.600 kr.;2018;78000;2018-07-27;Benzin;24.4;60;M
84.500 kr.;2018;101000;2018-02-27;Benzin;24.4;60;M
59.900 kr.;2014;156000;2014-02-05;Benzin;24.4;60;M
106.900 kr.;2018;118000;2017-03-29;Benzin;22.7;90;M
89.900 kr.;2017;90000;2016-11-03;Benzin;24.4;60;M
74.900 kr.;2018;186000;2017-09-29;Benzin;24.4;60;M
114.900 kr.;2018;73000;2018-05-30;Benzin;24.4;60;M
84.900 kr.;2019;136000;2018-09-04;Benzin;26.2;60;M
57.500 kr.;2014;165000;2014-04-10;Benzin;24.4;60;M
59.990 kr.;2013;114000;2012-10-26;Benzin;24.4;60;M
79.700 kr.;2015;82000;2015-03-18;Benzin;24.4;60;M
84.900 kr.;2016;68000;2016-05-03;Benzin;24.4;60;M
52.800 kr.;2013;123000;2013-06-21;Benzin;23.8;75;M
68.900 kr.;2013;90000;2013-06-12;Benzin;24.4;60;M
74.900 kr.;2016;122000;2016-01-12;Benzin;24.4;60;M
